4gtv1080,#genre#
CCTV-16(4K),https://000.hfr1107.top/live/php/yspios.php?id=cctv164k
CCTV-17高清,https://000.hfr1107.top/live/php/yspios.php?id=cctv17
CCTV-4K,https://000.hfr1107.top/live/php/yspios.php?id=cctv4k
CCTV-8K,https://000.hfr1107.top/live/php/yspios.php?id=cctv8k
CGTN,https://000.hfr1107.top/live/php/yspios.php?id=cgtn
CGTN法语频道,https://000.hfr1107.top/live/php/yspios.php?id=cgtnfy
CGTN俄语频道,https://000.hfr1107.top/live/php/yspios.php?id=cgtney
CGTN阿拉伯语频道,https://000.hfr1107.top/live/php/yspios.php?id=cgtnalby
CGTN西班牙语频道,https://000.hfr1107.top/live/php/yspios.php?id=cgtnxby
CGTN外语纪录频道,https://000.hfr1107.top/live/php/yspios.php?id=cgtnwyjl
CCTV风云剧场,https://000.hfr1107.top/live/php/yspios.php?id=cctvfyjc
CCTV第一剧场,https://000.hfr1107.top/live/php/yspios.php?id=cctvdyjc
CCTV怀旧剧场,https://000.hfr1107.top/live/php/yspios.php?id=cctvhjjc
CCTV世界地理,https://000.hfr1107.top/live/php/yspios.php?id=cctvsjdl
CCTV风云音乐,https://000.hfr1107.top/live/php/yspios.php?id=cctvfyyy
CCTV兵器科技,https://000.hfr1107.top/live/php/yspios.php?id=cctvbqkj
CCTV风云足球,https://000.hfr1107.top/live/php/yspios.php?id=cctvfyzq
CCTV高尔夫·网球,https://000.hfr1107.top/live/php/yspios.php?id=cctvgeqwq
CCTV女性时尚,https://000.hfr1107.top/live/php/yspios.php?id=cctvnxss
CCTV央视文化精品,https://000.hfr1107.top/live/php/yspios.php?id=cctvyswhjp
CCTV央视台球,https://000.hfr1107.top/live/php/yspios.php?id=cctvystq
CCTV电视指南,https://000.hfr1107.top/live/php/yspios.php?id=cctvdszn
CCTV卫生健康,https://000.hfr1107.top/live/php/yspios.php?id=cctvwsjk
北京卫视,https://000.hfr1107.top/live/php/yspios.php?id=bjws
江苏卫视,https://000.hfr1107.top/live/php/yspios.php?id=jsws
东方卫视,https://000.hfr1107.top/live/php/yspios.php?id=dfws
浙江卫视,https://000.hfr1107.top/live/php/yspios.php?id=zjws
湖南卫视,https://000.hfr1107.top/live/php/yspios.php?id=hnws
湖北卫视,https://000.hfr1107.top/live/php/yspios.php?id=hbws
广东卫视,https://000.hfr1107.top/live/php/yspios.php?id=gdws
广西卫视,https://000.hfr1107.top/live/php/yspios.php?id=gxws
黑龙江卫视,https://000.hfr1107.top/live/php/yspios.php?id=hljws
海南卫视,https://000.hfr1107.top/live/php/yspios.php?id=hnws2
重庆卫视,https://000.hfr1107.top/live/php/yspios.php?id=cqws
深圳卫视,https://000.hfr1107.top/live/php/yspios.php?id=szws
四川卫视,https://000.hfr1107.top/live/php/yspios.php?id=scws
河南卫视,https://000.hfr1107.top/live/php/yspios.php?id=henanws
东南卫视,https://000.hfr1107.top/live/php/yspios.php?id=fjdnhz
贵州卫视,https://000.hfr1107.top/live/php/yspios.php?id=gzhws
江西卫视,https://000.hfr1107.top/live/php/yspios.php?id=jxws
辽宁卫视,https://000.hfr1107.top/live/php/yspios.php?id=lnws
安徽卫视,https://000.hfr1107.top/live/php/yspios.php?id=ahws
河北卫视,https://000.hfr1107.top/live/php/yspios.php?id=hbws2
山东卫视,https://000.hfr1107.top/live/php/yspios.php?id=sdws
天津卫视,https://000.hfr1107.top/live/php/yspios.php?id=tjws
吉林卫视,https://000.hfr1107.top/live/php/yspios.php?id=jlws
陕西卫视,https://000.hfr1107.top/live/php/yspios.php?id=shanxiws
宁夏卫视,https://000.hfr1107.top/live/php/yspios.php?id=nxws
内蒙古卫视,https://000.hfr1107.top/live/php/yspios.php?id=nmgws
云南卫视,https://000.hfr1107.top/live/php/yspios.php?id=ynws
山西卫视,https://000.hfr1107.top/live/php/yspios.php?id=shanxiws2
青海卫视,https://000.hfr1107.top/live/php/yspios.php?id=qhws
西藏卫视,https://000.hfr1107.top/live/php/yspios.php?id=xzws
中国教育电视台1,https://000.hfr1107.top/live/php/yspios.php?id=cetv1
国学频道,https://000.hfr1107.top/live/php/yspios.php?id=gxpd
新疆卫视,https://000.hfr1107.top/live/php/yspios.php?id=xjws



1089央視,#genre#

CCTV-1高清,https://yspios.hots.dpdns.org/?id=cctv1|ua=qqlive
CCTV-2高清,https://yspios.hots.dpdns.org/?id=cctv2|ua=qqlive
CCTV-3高清,https://yspios.hots.dpdns.org/?id=cctv3|ua=qqlive
CCTV-4高清,https://yspios.hots.dpdns.org/?id=cctv4|ua=qqlive
CCTV-5高清,https://yspios.hots.dpdns.org/?id=cctv5|ua=qqlive
CCTV-5+高清,https://yspios.hots.dpdns.org/?id=cctv5p|ua=qqlive
CCTV-6高清,https://yspios.hots.dpdns.org/?id=cctv6|ua=qqlive
CCTV-7高清,https://yspios.hots.dpdns.org/?id=cctv7|ua=qqlive
CCTV-8高清,https://yspios.hots.dpdns.org/?id=cctv8|ua=qqlive
CCTV-9高清,https://yspios.hots.dpdns.org/?id=cctv9|ua=qqlive
CCTV-10高清,https://yspios.hots.dpdns.org/?id=cctv10|ua=qqlive
CCTV-11高清,https://yspios.hots.dpdns.org/?id=cctv11|ua=qqlive
CCTV-12高清,https://yspios.hots.dpdns.org/?id=cctv12|ua=qqlive
CCTV-13高清,https://yspios.hots.dpdns.org/?id=cctv13|ua=qqlive
CCTV-14高清,https://yspios.hots.dpdns.org/?id=cctv14|ua=qqlive
CCTV-15高清,https://yspios.hots.dpdns.org/?id=cctv15|ua=qqlive
CCTV-16高清,https://yspios.hots.dpdns.org/?id=cctv16|ua=qqlive
CCTV-16(4K),https://yspios.hots.dpdns.org/?id=cctv164k|ua=qqlive
CCTV-17高清,https://yspios.hots.dpdns.org/?id=cctv17|ua=qqlive
CCTV-4K,https://yspios.hots.dpdns.org/?id=cctv4k|ua=qqlive
CCTV-8K,https://yspios.hots.dpdns.org/?id=cctv8k|ua=qqlive
CGTN,https://yspios.hots.dpdns.org/?id=cgtn|ua=qqlive
CGTN法语频道,https://yspios.hots.dpdns.org/?id=cgtnfy|ua=qqlive
CGTN俄语频道,https://yspios.hots.dpdns.org/?id=cgtney|ua=qqlive
CGTN阿拉伯语频道,https://yspios.hots.dpdns.org/?id=cgtnalby|ua=qqlive
CGTN西班牙语频道,https://yspios.hots.dpdns.org/?id=cgtnxby|ua=qqlive
CGTN外语纪录频道,https://yspios.hots.dpdns.org/?id=cgtnwyjl|ua=qqlive
CCTV风云剧场,https://yspios.hots.dpdns.org/?id=cctvfyjc|ua=qqlive
CCTV第一剧场,https://yspios.hots.dpdns.org/?id=cctvdyjc|ua=qqlive
CCTV怀旧剧场,https://yspios.hots.dpdns.org/?id=cctvhjjc|ua=qqlive

1080衛視,#genre#

北京卫视,https://yspios.hots.dpdns.org/?id=bjws|ua=qqlive
江苏卫视,https://yspios.hots.dpdns.org/?id=jsws|ua=qqlive
东方卫视,https://yspios.hots.dpdns.org/?id=dfws|ua=qqlive
浙江卫视,https://yspios.hots.dpdns.org/?id=zjws|ua=qqlive
湖南卫视,https://yspios.hots.dpdns.org/?id=hnws|ua=qqlive
湖北卫视,https://yspios.hots.dpdns.org/?id=hbws|ua=qqlive
广东卫视,https://yspios.hots.dpdns.org/?id=gdws|ua=qqlive
广西卫视,https://yspios.hots.dpdns.org/?id=gxws|ua=qqlive
黑龙江卫视,https://yspios.hots.dpdns.org/?id=hljws|ua=qqlive
海南卫视,https://yspios.hots.dpdns.org/?id=hnws2|ua=qqlive
重庆卫视,https://yspios.hots.dpdns.org/?id=cqws|ua=qqlive
深圳卫视,https://yspios.hots.dpdns.org/?id=szws|ua=qqlive
四川卫视,https://yspios.hots.dpdns.org/?id=scws|ua=qqlive
河南卫视,https://yspios.hots.dpdns.org/?id=henanws|ua=qqlive
东南卫视,https://yspios.hots.dpdns.org/?id=fjdnhz|ua=qqlive
贵州卫视,https://yspios.hots.dpdns.org/?id=gzhws|ua=qqlive
江西卫视,https://yspios.hots.dpdns.org/?id=jxws|ua=qqlive
辽宁卫视,https://yspios.hots.dpdns.org/?id=lnws|ua=qqlive
安徽卫视,https://yspios.hots.dpdns.org/?id=ahws|ua=qqlive
河北卫视,https://yspios.hots.dpdns.org/?id=hbws2|ua=qqlive
山东卫视,https://yspios.hots.dpdns.org/?id=sdws|ua=qqlive
天津卫视,https://yspios.hots.dpdns.org/?id=tjws|ua=qqlive
吉林卫视,https://yspios.hots.dpdns.org/?id=jlws|ua=qqlive
陕西卫视,https://yspios.hots.dpdns.org/?id=shanxiws|ua=qqlive
宁夏卫视,https://yspios.hots.dpdns.org/?id=nxws|ua=qqlive
内蒙古卫视,https://yspios.hots.dpdns.org/?id=nmgws|ua=qqlive
云南卫视,https://yspios.hots.dpdns.org/?id=ynws|ua=qqlive
山西卫视,https://yspios.hots.dpdns.org/?id=shanxiws2|ua=qqlive
青海卫视,https://yspios.hots.dpdns.org/?id=qhws|ua=qqlive
西藏卫视,https://yspios.hots.dpdns.org/?id=xzws|ua=qqlive
国学频道,https://yspios.hots.dpdns.org/?id=gxpd|ua=qqlive
新疆卫视,https://yspios.hots.dpdns.org/?id=xjws|ua=qqlive
